[2026-03-23 13:34:28] 
--- INICIANDO NAVEGACIÓN HACIA: CASA ---
[2026-03-23 13:35:46] Pos: [8.298234, -62.716490] | Meta: 66.1m | Ideal: 238° | IMU: 272° | Err: -34° -> GIRA LEVEMENTE A LA IZQUIERDA
[2026-03-23 13:35:48] Pos: [8.298250, -62.716503] | Meta: 65.9m | Ideal: 236° | IMU: 253° | Err: -17° -> SIGUE DERECHO
[2026-03-23 13:35:50] Pos: [8.298268, -62.716517] | Meta: 65.8m | Ideal: 234° | IMU: 253° | Err: -19° -> SIGUE DERECHO
[2026-03-23 13:35:52] Pos: [8.298282, -62.716529] | Meta: 65.7m | Ideal: 232° | IMU: 249° | Err: -17° -> SIGUE DERECHO
[2026-03-23 13:35:54] Pos: [8.298296, -62.716540] | Meta: 65.6m | Ideal: 230° | IMU: 246° | Err: -16° -> SIGUE DERECHO
[2026-03-23 13:35:56] Pos: [8.298305, -62.716540] | Meta: 66.2m | Ideal: 230° | IMU: 260° | Err: -30° -> GIRA LEVEMENTE A LA IZQUIERDA
[2026-03-23 13:35:58] Pos: [8.298315, -62.716544] | Meta: 66.7m | Ideal: 229° | IMU: 245° | Err: -16° -> SIGUE DERECHO
[2026-03-23 13:36:00] Pos: [8.298327, -62.716555] | Meta: 66.7m | Ideal: 227° | IMU: 258° | Err: -31° -> GIRA LEVEMENTE A LA IZQUIERDA
[2026-03-23 13:36:02] Pos: [8.298335, -62.716565] | Meta: 66.5m | Ideal: 226° | IMU: 254° | Err: -28° -> GIRA LEVEMENTE A LA IZQUIERDA
[2026-03-23 13:36:04] Pos: [8.298349, -62.716564] | Meta: 67.6m | Ideal: 225° | IMU: 253° | Err: -28° -> GIRA LEVEMENTE A LA IZQUIERDA
[2026-03-23 13:36:06] Pos: [8.298361, -62.716563] | Meta: 68.6m | Ideal: 224° | IMU: 250° | Err: -26° -> GIRA LEVEMENTE A LA IZQUIERDA
[2026-03-23 13:36:08] Pos: [8.298364, -62.716569] | Meta: 68.5m | Ideal: 224° | IMU: 243° | Err: -19° -> SIGUE DERECHO
[2026-03-23 13:36:10] Pos: [8.298370, -62.716569] | Meta: 68.9m | Ideal: 223° | IMU: 236° | Err: -13° -> SIGUE DERECHO
[2026-03-23 13:36:12] Pos: [8.298377, -62.716566] | Meta: 69.7m | Ideal: 223° | IMU: 237° | Err: -13° -> SIGUE DERECHO
[2026-03-23 13:36:14] Pos: [8.298385, -62.716563] | Meta: 70.6m | Ideal: 223° | IMU: 220° | Err: 3° -> SIGUE DERECHO
[2026-03-23 13:36:16] Pos: [8.298395, -62.716550] | Meta: 72.4m | Ideal: 223° | IMU: 210° | Err: 13° -> SIGUE DERECHO
[2026-03-23 13:36:18] Pos: [8.298406, -62.716552] | Meta: 73.1m | Ideal: 222° | IMU: 208° | Err: 14° -> SIGUE DERECHO
[2026-03-23 13:36:20] Pos: [8.298421, -62.716563] | Meta: 73.6m | Ideal: 221° | IMU: 210° | Err: 11° -> SIGUE DERECHO
[2026-03-23 13:36:22] Pos: [8.298428, -62.716566] | Meta: 73.9m | Ideal: 220° | IMU: 210° | Err: 10° -> SIGUE DERECHO
[2026-03-23 13:36:24] Pos: [8.298439, -62.716569] | Meta: 74.7m | Ideal: 219° | IMU: 208° | Err: 12° -> SIGUE DERECHO
[2026-03-23 13:36:26] Pos: [8.298448, -62.716577] | Meta: 74.9m | Ideal: 218° | IMU: 202° | Err: 16° -> SIGUE DERECHO
[2026-03-23 13:36:28] Pos: [8.298461, -62.716574] | Meta: 76.3m | Ideal: 218° | IMU: 209° | Err: 9° -> SIGUE DERECHO
[2026-03-23 13:36:30] Pos: [8.298473, -62.716573] | Meta: 77.4m | Ideal: 217° | IMU: 202° | Err: 15° -> SIGUE DERECHO
[2026-03-23 13:36:32] Pos: [8.298481, -62.716583] | Meta: 77.4m | Ideal: 216° | IMU: 199° | Err: 17° -> SIGUE DERECHO
[2026-03-23 13:36:34] Pos: [8.298494, -62.716582] | Meta: 78.7m | Ideal: 216° | IMU: 192° | Err: 24° -> GIRA LEVEMENTE A LA DERECHA
[2026-03-23 13:36:36] Pos: [8.298507, -62.716577] | Meta: 80.2m | Ideal: 215° | IMU: 211° | Err: 5° -> SIGUE DERECHO
[2026-03-23 13:36:38] Pos: [8.298514, -62.716583] | Meta: 80.4m | Ideal: 215° | IMU: 219° | Err: -4° -> SIGUE DERECHO
[2026-03-23 13:36:40] Pos: [8.298522, -62.716594] | Meta: 80.4m | Ideal: 214° | IMU: 194° | Err: 20° -> GIRA LEVEMENTE A LA DERECHA
[2026-03-23 13:36:42] Pos: [8.298528, -62.716600] | Meta: 80.6m | Ideal: 213° | IMU: 199° | Err: 14° -> SIGUE DERECHO
[2026-03-23 13:36:44] Pos: [8.298533, -62.716601] | Meta: 81.0m | Ideal: 213° | IMU: 192° | Err: 20° -> GIRA LEVEMENTE A LA DERECHA
[2026-03-23 13:36:46] Pos: [8.298547, -62.716608] | Meta: 82.0m | Ideal: 212° | IMU: 187° | Err: 25° -> GIRA LEVEMENTE A LA DERECHA
[2026-03-23 13:36:48] Pos: [8.298557, -62.716615] | Meta: 82.6m | Ideal: 211° | IMU: 188° | Err: 23° -> GIRA LEVEMENTE A LA DERECHA
[2026-03-23 13:36:50] Pos: [8.298566, -62.716616] | Meta: 83.4m | Ideal: 210° | IMU: 257° | Err: -47° -> GIRA LEVEMENTE A LA IZQUIERDA
[2026-03-23 13:36:52] Pos: [8.298571, -62.716614] | Meta: 84.0m | Ideal: 210° | IMU: 272° | Err: -61° -> GIRA A LA IZQUIERDA
[2026-03-23 13:36:54] Pos: [8.298575, -62.716611] | Meta: 84.4m | Ideal: 210° | IMU: 271° | Err: -61° -> GIRA A LA IZQUIERDA
[2026-03-23 13:36:56] Pos: [8.298582, -62.716623] | Meta: 84.5m | Ideal: 209° | IMU: 273° | Err: -64° -> GIRA A LA IZQUIERDA
[2026-03-23 13:36:58] Pos: [8.298587, -62.716640] | Meta: 84.1m | Ideal: 208° | IMU: 282° | Err: -74° -> GIRA A LA IZQUIERDA
[2026-03-23 13:37:00] Pos: [8.298587, -62.716645] | Meta: 83.9m | Ideal: 208° | IMU: 284° | Err: -76° -> GIRA A LA IZQUIERDA
[2026-03-23 13:37:02] Pos: [8.298588, -62.716646] | Meta: 83.9m | Ideal: 208° | IMU: 289° | Err: -82° -> GIRA A LA IZQUIERDA
[2026-03-23 13:37:04] Pos: [8.298587, -62.716648] | Meta: 83.7m | Ideal: 208° | IMU: 356° | Err: -148° -> GIRA A LA IZQUIERDA
[2026-03-23 13:37:06] Pos: [8.298587, -62.716642] | Meta: 84.0m | Ideal: 208° | IMU: 360° | Err: -152° -> GIRA A LA IZQUIERDA
[2026-03-23 13:37:08] Pos: [8.298584, -62.716651] | Meta: 83.3m | Ideal: 207° | IMU: 7° | Err: -159° -> GIRA A LA IZQUIERDA
[2026-03-23 13:37:10] Pos: [8.298585, -62.716656] | Meta: 83.1m | Ideal: 207° | IMU: 318° | Err: -111° -> GIRA A LA IZQUIERDA
[2026-03-23 13:37:12] Pos: [8.298585, -62.716660] | Meta: 82.9m | Ideal: 207° | IMU: 330° | Err: -123° -> GIRA A LA IZQUIERDA
[2026-03-23 13:37:14] Pos: [8.298587, -62.716662] | Meta: 82.9m | Ideal: 207° | IMU: 280° | Err: -73° -> GIRA A LA IZQUIERDA
[2026-03-23 13:37:16] Pos: [8.298587, -62.716656] | Meta: 83.3m | Ideal: 207° | IMU: 300° | Err: -93° -> GIRA A LA IZQUIERDA
